Movie ID, Movie Name
19556,We Faw Down (1928)
19585,The Wind (1928)
19607,Youre Darn Tootin (1928)
19686,Berth Marks (1929)
19688,Big Business (1929)
19702,Blackmail (1929)
19729,The Broadway Melody (1929)
19760,Chelovek s kino-apparatom (1929)
19777,The Cocoanuts (1929)
19832,Double Whoopee (1929)
19901,Frau im Mond (1929)
19999,The Hoose-Gow (1929)
20030,The Iron Mask (1929)
20475,Tagebuch einer Verlorenen (1929)
20487,Thats My Wife (1929)
20489,They Go Boom (1929)
20530,Un chien andalou (1929)
20531,Unaccustomed As We Are (1929)
20572,Welcome Danger (1929)
20581,Where East Is East (1929)
20629,All Quiet on the  Front (1930)
20641,Anna Christie (1930)
20678,Below Zero (1930)
20686,The Big House (1930)
20693,Billy the Kid (1930) 
20697,Der blaue Engel (1930)
20698,Blotto (1930)
20708,Brats (1930)
20768,City Girl (1930)
20902,Free and Easy (1930)
20960,Hells Angels (1930)
20980,Hogaraka ni ayume (1930)
21054,The Laurel-Hardy Murder Case (1930)
21079,Little Caesar (1931)
21156,Morocco (1930)
21165,Murder (1930)
21182,Night Owls (1930)
21283,Rakudai wa shitakeredo (1930)
21331,Le sang dun poäte (1932)
21406,Sono yo no tsuma (1930)
21409,Sous les toits de Paris (1930)
21576,? propos de Nice (1930)
21577,LÉge dor (1930)
21738,Chickens Come Home- (1931)
21746,Cimarron (1931)
21749,City Lights (1931)
21755,Come Clean (1931)
21814,Dracula (1931)
21884,Frankenstein (1931)
21885,A Free Soul (1931)
22048,Shukujo to hige (1931)
22058,Laughing Gravy (1931)
22080,Limite (1931)
22100,M (1931)
22125,Marius (1931)
22150,Le million (1931)
22158,Monkey Business (1931)
22251,Pardon Us (1931)
22279,Private Lives (1931)
22286,The Public Enemy (1931)
22395,The Skin Game (1931)
22403,Smart Money (1931)
22458,Tabu A Story of the South Seas (1931)
22462,Taris  roi de leau (1931)
22782,County Hospital (1932)
22792,The Crowd Roars (1932)
22817,The Devils Cabaret (1930)
22834,Downstairs (1932)
22883,The Fatal Glass of Beer (1933)
22913,Freaks (1932)
22958,Grand Hotel (1932)
22981,Haunted Gold (1932)
22991,Hells House (1932)
22994,Helpmates (1932)
23027,Horse Feathers (1932)
23158,Love Me Tonight (1932)
23194,The Mask of Fu Manchu (1932)
23238,The Most Dangerous Game (1932)
23245,The Mummy (1932)
23249,Murders in the Rue Morgue (1932)
23251,The  Box (1932)
23266,Night After Night (1932)
23285,Number Seventeen (1932)
23300,On the Loose (1931)
23303,One Hour with You (1932)
23305,One Way Passage (1932)
23349,Polly of the Circus (1932)
23395,Rich and Strange (1931)
23427,Scarface (1932)
23439,Scram (1932)
23563,Das Testament des Dr. Mabuse (1933)
23613,Towed in a Hole (1932)
23634,Otona no miru ehon - Umarete wa mita keredo (1932)
23640,Unheimliche Geschichten (1932)
23642,Union Depot (1932)
23649,Vampyr (1932)
23685,The Wet Parade (1932)
23686,What Price Hollywood? (1932)
23694,White Zombie (1932)
23753,Alice in Wonderland (1933)
23775,Baby Face (1933)
23817,Blondie Johnson (1933)
23848,Broadway to Hollywood (1933)
23858,Busy Bodies (1933)
23876,Cavalcade (1933)
23902,El compadre Mendoza (1934)
23937,Dekigokoro (1933)
23948,Dinner at Eight (1933)
23950,Dirty Work (1933)
23969,Duck Soup (1933)
24034,42nd Street (1933)
24069,Gold Diggers of 1933 (1933)
24092,Havana Widows (1933)
24120,Hijsen no onna (1933)
24124,His Private Secretary (1933)
24166,Im No Angel (1933)
24184,The Invisible Man (1933)
24188,Island of Lost Souls (1932)
24216,King Kong (1933)
24252,Liebelei (1933)
24264,Little Women (1933)
24316,Me and My Pal (1933)
24353,Morning Glory (1933)
24481,Queen Christina (1933) 
24548,She Done Him Wrong (1933)
24554,A Shriek in the Night (1933)
24601,Sons of the Desert (1933)
24660,Three Little Pigs (1933)  
24747,Waltzes from Vienna (1934)
24803,ZÇro de conduite Jeunes diables au colläge (1933)
24831,Anne of Green Gables (1934)
24844,LAtalante (1934)
24894,The Black Cat (1934)
24914,Bright Eyes (1934)
25004,The Count of Monte Cristo (1934)
25132,Forsaking All Others (1934)
25263,Hollywood Party (1934)
25290,Ive Got Your Number (1934)
25301,Imitation of Life (1934)
25316,It Happened One Night (1934)
25318,Its a Gift (1934)
25330,Jimmy the Gent (1934)
25409,The Little Minister (1934)
25452,The Man Who Knew Too Much (1934)
25456,Man of Aran (1934)
25461,Mandalay (1934)
25464,Manhattan Melo  (1934)
25494,Merry Wives of Reno (1934)
25586,Of Human Bondage (1934)
25590,The Old Fashioned Way (1934)
25591,Oliver the Eighth (1934)
25746,The Scarlet Empress (1934)
25803,Smarty (1934)
25878,The Thin Man (1934)
25913,Triumph des Willens (1935)
25919,Twentieth Century (1934)
25929,Ukikusa monogatari (1934)
25948,Viva Villa (1934)
26029,The 39 Steps (1935)
26138,Bride of Frankenstein (1935)
26202,Cheer Up (1936)
26362,The Fixer Uppers (1935)
26529,The Informer (1935)
26721,Miss Pacific Fleet (1935)
26743,Maria Marten or The Murder in the Red Barn (1935)
26752,Mutiny on the Bounty (1935)
26778,A Night at the Opera (1935)
26912,The Raven (1935)
26966,Sanders of the River (1935)
26971,A Scream in the Night (1935)
27075,A Tale of Two Cities (1935)
27089,Thicker Than Water (1935)
27125,Top Hat (1935)
27133,Traveling Saleslady (1935)
27194,Werewolf of London (1935)
27302,Anything Goes (1936)
27331,Banjo on My Knee (1936)
27376,The Bohemian Girl (1936)
27462,Conflict (1936)
27478,Le  de Monsieur Lange (1936)
27481,The Crimes of Stephen Hawke (1936)
27532,Dodsworth (1936)
27630,Follow the Fleet (1936)
27652,Fury (1936)
27657,The Garden of Allah (1936)
27686,Gold Diggers of 1937 (1936)
27698,The Great Ziegfeld (1936) 
27752,Hitori musuko (1936)
27800,The Invisible Ray (1936)
27893,Little Lord Fauntleroy (1936)
27948,Mary of Scotland (1936) 
27977,Modern Times (1936)
28010,My Man Godfrey (1936)
28021,Naniwa erejå (1936)
28030,Night Mail (1936)
28074,The Pace That Kills (1935)
28212,Sabotage (1936)
28231,Secret Agent (1936)
28241,Shadow of Chinatown (1936)
28333,Swing Time (1936)
28346,Tell Your Children (1936)
28358,Things to Come (1936)
28557,Affairs of Cappy Ricks (1937)
28597,The Awful Truth (1937)
28683,Camille (1936)
28691,Captains Courageous (1937)
28772,A Day at the Races (1937)
28950,La grande illusion (1937)
29146,The Life of Emile Zola (1937) 
29179,Madame X (1937)
29192,Make Way for Tomorrow (1937)
29201,The Man Who Could Work Miracles (1936)
29284,My Favorite Wife (1940)
29442,The Prisoner of Zenda (1937)
29499,Rosalie (1937)
29539,Seventh Heaven (1937)
29546,Shall We Dance (1937)
29583,Snow White and the Seven Dwarfs (1937) 
29606,A Star Is Born (1937)
29608,Stella Dallas (1937)
29658,They Wont Forget (1937)
29671,The Ticket of Leave Man (1937)
29725,Varsity Show (1937)
29747,Way Out West (1937)
29808,You Only Live Once (1937)
29811,Young and Innocent (1937)
29843,The  s of Robin Hood (1938)
29850,Aleksandr Nevskiy (1938)
29892,The Bad Man of Brimstone (1937)
29923,Block-Heads (1938)
29947,Bringing Up Baby (1938)
29989,Child Bride (1938)
29992,A Christmas Carol (1938)
30241,Holiday (1938)
30341,The Lady Vanishes (1938)
30372,My Irish Molly (1938)
30413,Mannequin (1937)
30637,Pygmalion (1938)
30643,Le quai des brumes (1938)
30657,Rebecca of Sunnybrook Farm (1938)
30732,Service de Luxe (1938)
30744,The Shopworn Angel (1938)
30824,Swiss Miss (1938)
30848,Test Pilot (1938)
30879,Too Hot to Handle (1938)
30922,Vacation from Love (1938)
30993,You Cant Take It with You (1938)
31022,The  s of Sherlock Holmes (1939)
31054,Arrest Bulldog Drummond (1939)
31055,The Arsenal Stadium  (1939)
31060,At the Circus (1939)
31088,Beau Geste (1939)
31143,The Cat and the Canary (1939)
31229,The Devils Daughter (1939)
31235,Dodge City (1939)
31252,Drums Along the Mohawk (1939)
31322,The Flying Deuces (1939)
31334,The Four Feathers (1939)
31359,Gaslight (1940)
31381,Gone with the Wind (1939)
31385,Goodbye Mr. Chips (1939)
31394,The Green Hornet (1940)
31448,The Hound of the Baskervilles (1939)
31455,The Hunchback of Notre Dame (1939)
31505,Jamaica Inn (1939)
31514,Le jour se läve (1939)
31580,The Little Princess (1939)
31602,Made for Each Other (1939)
31647,Midnight (1939)
31679,Mr. Smith Goes to Washington (1939)
31725,Ninotchka (1939)
31742,Of Mice and Men (1939)
31754,On Borrowed Time (1939)
31762,Only Angels Have Wings (1939)
31796,The Phantom Creeps (1939)
31826,The Private Lives of Elizabeth and Essex (1939) 
31828,The Proud Valley (1940)
31851,The Return of Doctor X (1939)
31867,The Roaring Twenties (1939)
31877,Rose of Washington Square (1939)
31885,La rägle du jeu (1939)
31971,Stagecoach (1939)
32045,Torchy Runs for Mayor (1939)
32138,The Wizard of Oz (1939)
32143,The Women (1939)
32145,Wuthering Heights (1939)
32155,Young Mr. Lincoln (1939) 
32194,All This and Heaven Too (1940)
32234,The Bank Dick (1940)
32258,Black Friday (1940)
32290,Buck Rogers (1939)
32338,Christmas in July (1940)
32339,A Chump at Oxford (1940)
32366,Crimes at the Dark House (1940)
32376,Dance Girl
32390,The Devil Bat (1940)
32455,Fantasia (1940) 
32484,Foreign Correspondent (1940)
32536,Go West (1940)
32551,The Grapes of Wrath (1940)
32553,The Great Dictator (1940)
32554,The Great McGinty (1940)
32559,The Green Hornet Strikes Again (1940)
32599,His Girl Friday (1940)
32609,The House Across the Bay (1940)
32643,It All Came True (1940)
32676,Knute Rockne All American (1940) 
32762,The Mark of Zorro (1940)
32828,My Little Chickadee (1940)
32842,Night Train to Munich (1940)
32863,The Old South (1940)
32904,The Philadelphia Story (1940)
32910,Pinocchio (1940)   
32946,Primrose Path (1940)
32976,Rebecca (1940)
33022,Saps at Sea (1940)
33028,The Sea Hawk (1940)
33045,The Shop Around the Corner (1940)
33105,Strange Cargo (1940)
33149,They Drive by Night (1940)
33152,The Thief of Bagdad (1940)
33234,Wagon Train (1940)
33317, s of Captain Marvel (1941)
33373,Ball of Fire (1941)
33467,Citizen Kane (1941)
33517,A Date with the Falcon (1942)
33553,Dr. Jekyll and Mr. Hyde (1941)
33558,Dressed to Kill (1941)
33563,Dumbo (1941)
33650,The Gay Falcon (1941)
33717,High Sierra (1941)
33729,How Green Was My Valley (1941)
33804,The Lady Eve (1941)
33836,The Little Foxes (1941)
33867,Maisie Was a Lady (1941)
33870,The Maltese Falcon (1941)
33871,A Man Betrayed (1941)
33874,The Man Who Came to Dinner (1942)
33879,Man Made Monster (1941)
33891,Meet John Doe (1941)
33902,Men of Boys Town (1941)
33922,Mr. &amp; Mrs. Smith (1941)
33945,Never Give a Sucker an Even Break (1941)
34167,Sergeant York (1941) 
34175,The Shanghai Gesture (1941)
34204,The Smiling Ghost (1941)
34232,Steel Against the Sky (1941)
34236,The Strawberry Blonde (1941)
34240,Sullivans Travels (1941)
34248,Suspicion (1941)
34298,Todake no kyodai (1941)
34386,When Ladies Meet (1941)
34398,The Wolf Man (1941)
34428,Across the Pacific (1942)
34433,The Affairs of Martha (1942)
34458,Andy Hardys Double Life (1942)
34478,Lassassin habite... au 21 (1942)
34492,Bambi (1942) 
34522,The Black Swan (1942)
34546,Bowery at Midnight (1942)
34583,Casablanca (1942)
34587,Cat People (1942)
34591,Chichi ariki (1942)
34618,The Courtship of Andy Hardy (1942)
34711,Eyes in the Night (1942)
34716,The Falcon Takes Over (1942)
34717,The Falcons Brother (1942)
34734,The First of the Few (1942) 
34778,Gentleman Jim (1942) 
34786,The Ghost of Frankenstein (1942)
34798,The Glass Key (1942)
34862,Holiday Inn (1942)
34891,In Which We Serve (1942)
34978,Listen to Britain (1942)
35015,The Magnificent Ambersons (1942)
35017,La main du diable (1943)
35093,Mrs. Miniver (1942)
35105,My Sister Eileen (1942)
35140,Now Voyager (1942)
35153,One of Our Aircraft Is Missing (1942)
35160,Ossessione (1943)
35238,Random Harvest (1942)
35279,Saboteur (1942)
35308,Seven Miles from Alcatraz (1942)
35317,Sherlock Holmes and the Secret Weapon (1942)
35318,Sherlock Holmes and the Voice of Terror (1942)
35369,The Spoilers (1942)
35417,The Talk of the Town (1942)
35421,Ten Gentlemen from West Point (1942)
35423,Kate &amp; Leopold (2001)
35432,This Gun for Hire (1942)
35446,To Be or Not to Be (1942)
35521,Les visiteurs du soir (1942)
35575,Yankee Doodle Dandy (1942) 
35583,You Were Never Lovelier (1942)
35608,  in the North Atlantic (1943)
35616,Air Force (1943)
35640,The Ape Man (1943)
35733,Chicken Little (1943) Animation 
35798,The Desperadoes (1943)
35807,Distinto amanecer (1943)
35854,The Falcon Strikes Back (1943)
35855,The Falcon and the Co-eds (1943)
35856,The Falcon in Danger (1943)
35884,Five Graves to Cairo (1943)
35899,Frankenstein Meets the Wolf Man (1943)
35957,Guadalcanal Diary (1943)
35966,Hangmen Also Die (1943)
35979,Heaven Can Wait (1943)
36027,I Walked with a Zombie (1943)
36037,Immortal Sergeant (1943)
36098,Lassie Come Home (1943)
36112,The Life and Death of Colonel Blimp (1943)
36126,Madame Curie (1943) 
36154,Meshes of the Afternoon (1943)
36189, of the 13th Guest (1943)
36217,The North Star (1943)
36233,Old Mother Riley Detective (1943)
36244,The Ox-Bow Incident (1943)
36261,Phantom of the Opera (1943)
36342,Shadow of a Doubt (1943)
36349,Sherlock Holmes in Washington (1943)
36395,A Stranger in Town (1943)
36407,Swing Shift Maisie (1943)
36506,Vredens dag (1943)
36515,Watch on the Rhine (1943)
36549,Yellow Canary (1943)
36613,Arsenic and Old Lace (1944)
36621,Aventure malgache (1944)
36625,Barbary Coast Gent (1944)
36641,Between Two Worlds (1944)
36671,Bride by Mistake (1944)
36673,Broadway Rhythm (1944)
36677,Buffalo Bill (1944)
36695,A Canterbury Tale (1944)
36731,Cry of the Werewolf (1944)
36775,Double Indemnity (1944)
36777,Dragon Seed (1944)
36810,The Falcon in Hollywood (1944)
36855,Gaslight (1944)
36868,The Best Years of Our Lives (1946)
36872,Going My Way (1944)
36891,Hail the Conquering Hero (1944)
36914,Hets (1944)
36940,Ill Be Seeing You (1944)
36969,Jane Eyre (1943)
37008,Laura (1944)
37017,Lifeboat (1944)
37027,Lost in a Harem (1944)
37059,Meet Me in St. Louis (1944)
37075,Ministry of Fear (1944)
37101,Murder My Sweet (1944)
37120,National Velvet (1944)
37179,A Place of Ones Own (1945)
37318,Strangers in the Night (1944)
37323,The Sullivans (1944) 
37382,To Have and Have Not (1944)
37415,The Uninvited (1944)
37469,The Woman in the Window (1944)
37494,-1945
37508,Along Came Jones (1945)
37514,Anchors Aweigh (1945)
37515,And Then There Were None (1945)
37536,The Bells of St. Marys (1945)
37549,The Body Snatcher (1945)
37558,Brief Encounter (1945)
37627,Dakota (1945)
37630,Les dames du Bois de Boulogne (1945)
37635,Dead of Night (1945)
37638,Detour (1945)
37674,Les enfants du paradis (1945)
37690,The Falcon in San Francisco (1945)
37736,George Whites Scandals (1945)
37749,The Great Flamarion (1945)
37795,The House on 92nd Street (1945)
37800,I Know Where Im Going (1945)
37820,Isle of the Dead (1945)
37865,Leave Her to Heaven (1945)
37884,The Lost Weekend (1945)
37913,Mildred Pierce (1945)
37931,Murder He Says (1945)
37981,La perla (1947)
37988,The Picture of Dorian Gray (1945)
38057,Scarlet Street (1945)
38108,The Spanish Main (1945)
38109,Spellbound (1945)
38213,The Valley of Decision (1945)
38238,The Way to the Stars (1945)
38279,13 Rue Madeleine (1947)
38289,I See a Dark Stranger (1946)
38300,Angel on My Shoulder (1946)
38341,Because of Him (1946)
38348,La belle et la bàte (1946)
38355,The Big Sleep (1946)
38363,Blithe Spirit (1945)
38369,The Blue Dahlia (1946)
38417,Cloak and Dagger (1946)
38455,The Dark Mirror (1946)
38461,Deception (1946)
38492,Dragonwyck (1946)
38505,Easy to Wed (1946)
38559,Gilda (1946)
38574,Great Expectations (1946)
38577,Green for Danger (1946)
38615,The Hoodlum Saint (1946)
38650,Its a Wonderful Life (1946)
38669,The Killers (1946)
38727,Margie (1946)
38733,A Matter of Life and Death (1946)
38762,My Darling Clementine (1946)
38777,A Night in Casablanca (1946)
38787,Notorious (1946)
38823,PaisÖ (1946)
38854,The Postman Always Rings Twice (1946)
38855,The Potted Psalm (1946)
38890,Roma cittÖ aperta (1945)
38934,She-Wolf of London (1946)
38937,Shock (1946)
38975,The Spiral Staircase (1945)
38984,A Stolen Life (1946)
38988,The Strange Love of Martha Ivers (1946)
38991,The Stranger (1946)
39017,Terror by Night (1946)
39035,Till the Clouds Roll By (1946)
39116,Ziegfeld Follies (1945)
39152,Angel and the Badman (1947)
39169,The Bachelor and the Bobby-Soxer (1947)
39192,Black Narcissus (1947)
39211,Born to Kill (1947)
39220,Brighton Rock (1947)
39266,Christmas Eve (1947)
39294,Daisy Kenyon (1947)
39305,Dead Reckoning (1947)
39306,Dear Murderer (1947)
39340,Dreams That Money Can Buy (1947)
39394,The Foxes of Harrow (1947)
39416,Gentlemans Agreement (1947)
39417,Germania anno zero (1948)
39420,The Ghost and Mrs. Muir (1947)
39428,Golden Earrings (1947)
39502,It Happened on Fifth Avenue (1947)
39566,Life with Father (1947)
39589,Lured (1947)
39594,The Magic Bow (1946)
39595,Magic Town (1947)
39628,Miracle on 34th Street (1947)
39631,Monsieur Verdoux (1947)
39651,Nagaya shinshiroku (1947)
39677,Odd Man Out (1947)
39689,Out of the Past (1947)
39694,The Paradine Case (1947)
39725,Possessed (1947)
39743,Queen of the Amazons (1947)
39761,Repeat Performance (1947)
39808,The Secret Life of Walter Mitty (1947)
39822,Le silence de la mer (1949)
39826,Sinbad the Sailor (1947)
39834,Skepp till India land (1947)
39927,Tycoon (1947)
39935,Undercover Maisie (1947)
39998,The Wistful Widow of Wagon Gap (1947)
40068,Bud Abbott Lou Costello Meet Frankenstein (1948)
40160,The Big Clock (1948)
40185,The Boy with Green Hair (1948)
40202,Call Northside 777 (1948)
40242,Command Decision (1948)
40271,A Date with Judy (1948)
40308,Easter Parade (1948)
40427,He Walked by Night (1948)
40497,Jour de fàte (1949)
40499,June Bride (1948)
40505,Kaze no naka no mendori (1948)
40506,Key Largo (1948)
40522,Ladri di biciclette (1948)
40525,The Lady from Shanghai (1947)
40536,Letter from an Unknown Woman (1948)
40559,La macchina ammazzacattivi (1952)
40636,The Naked City (1948)
40652,The Noose Hangs High (1948)
40662,Oliver Twist (1948)
40705,Portrait of Jennie (1948)
40723,Raw Deal (1948)
40724,Red River (1948)
40725,The Red Shoes (1948)
40746,Rope (1948)
40751,Ruthless (1948)
40755,Sal¢n MÇxico (1949)
40766,Secret Beyond the Door... (1947)
40795,Sitting Pretty (1948)
40806,The Snake Pit (1948)
40866,La terra trema Episodio del mare (1948)
40876,The Three Musketeers (1948)
40897,The Treasure of the Sierra Madre (1948)
40970,The Winslow Boy (1948)
40978,Yellow Sky (1948)
40979,Yoidore tenshi (1948)
41082,A-Haunting We Will Go (1949) 
41085,Abbott and Costello Meet the Killer Boris Karloff (1949)
41090,Adams Rib (1949)
41094,The  s of Ichabod and Mr. Toad (1949) 
41113,All the Kings Men (1949)
41154,Banshun (1949)
41158,The Barkleys of Broadway (1949)
41162,Batman and Robin (1949)
41175,The Big Cat (1949)
41178,The Big Steal (1949)
41238,Challenge to Lassie (1949)
41245,The Chiltern Hundreds (1949)
41259,A Connecticut Yankee in King Arthurs Court (1949)
41300,The Doctor and the Girl (1949)
41386,The Fountainhead (1949)
41387,Francis (1950)
41423,El gran calavera (1949)
41452,The Heiress (1949)
41473,Holiday Affair (1949)
41507,In the Good Old Summertime (1949)
41509,The Inspector General (1949)
41546,Kind Hearts and Coronets (1949)
41587,A Letter to Three Wives (1949)
41604,Love Happy (1949)
41652,Miss Grant Takes Richmond (1949)
41671,My Dream Is Yours (1949)
41699,Nora inu (1949)
41716,On the Town (1949)
41718,One Last Fling (1949)
41719,OrphÇe (1950)
41737,Passport to Pimlico (1949)
41761,Port of New York (1949)
41786,The Reckless Moment (1949)
41841,Sands of Iwo Jima (1949)
41855,The Secret Garden (1949)
41866,She Wore a Yellow Ribbon (1949)
41931,Stromboli (1950)
41944,Take Me Out to the Ball Game (1949)
41955,That Forsyte Woman (1949)
41959,The Third Man (1949)
41996,Twelve OClock High (1949)
42004,Under Capricorn (1949)
42040,Whisky Galore (1949)
42041,White Heat (1949)
42176,711 Ocean Drive (1950)
42179,Abbott and Costello in the Foreign Legion (1950)
42192,All About Eve (1950)
42200,Annie Get Your Gun (1950) 
42208,The Asphalt Jungle (1950)
42233,Bawre Nain (1950)
42276,Born Yesterday (1950)
42332,Cinderella (1950) 
42369,D.O.A. (1950)
42384,Day of the Fight (1951)
42393,Destination Moon (1950)
42436,Les enfants terribles (1950)
42524,The Great Rupert (1950)
42530,Deadly Is the Female (1950)
42541,The Happiest Days of Your Life (1950)
42546,Harvey (1950)
42593,In a Lonely Place (1950)
42634,Key to the City (1950)
42779,Nancy Goes to Rio (1950)
42786,The Next Voice You Hear... (1950)
42788,Night and the City (1950)
42792,No Way Out (1950)
42804,Los olvidados (1950)
42819,Our Very Own (1950)
42869,Quicksand (1950)
42876,Rashmon (1950)
42895,Rio Grande (1950)
42906,La ronde (1950)
42958,Shñbun (1950)
42960,Side Street (1949)
42980,So Long at the Fair (1950)
42994,Stage Fright (1950)
43012,Summer Stock (1950)
43014,Sunset Blvd. (1950)
43048,Till gldje (1950)
43123,The West Point Story (1950)
43132,Where the Sidewalk Ends (1950)
43137,Winchester 73 (1950)
43153,Young Man with a Horn (1950) 
43255,Abbott and Costello Meet the Invisible Man (1951)
43262,Across the Wide Missouri (1951)
43265,The African Queen (1951)
43274,Alice in Wonderland (1951)  
43278,An American in Paris (1951)
43286,Angels in the Outfield (1951)
43303,Lauberge rouge (1951)
43313,Bakushñ (1951)
43332,Bellissima (1952)
43335,Best of the Badmen (1951)
43338,Ace in the Hole (1951)
43379,Captain Horatio Hornblower R.N. (1951)
43425,Comin Round the Mountain (1951)
43456,The Day the Earth Stood Still (1951)
43461,The Desert Fox The Story of Rommel (1951) Biography 
43511,Europa 51 (1952)
43547,Flying Leathernecks (1951)
43548,Flying Padre An RKO-Pathe Screenliner (1951)
43560,Fourteen Hours (1951)
43614,Hakuchi (1951)
43618,Happy Go Lovely (1951)
43639,La hija del enga§o (1951)
43727,Laughter in Paradise (1951)
43728,The Law and the Lady (1951)
43778,The Man from Planet X (1951)
43781,Man in the Saddle (1951)
43809,Miracolo a Milano (1951)
43813,The Model and the Marriage Broker (1951)
43827,My Favorite Spy (1951)
43852,Night Into Morning (1951)
43859,No Highway (1951)
43915,People Will Talk (1951)
43924,A Place in the Sun (1951)
43949,Quo Vadis (1951)
43961,The Red Badge of Courage (1951)
43983,Royal Wedding (1951)
44000,Lo sceicco bianco (1952)
44008,Scrooge (1951)
44060,Sommarlek (1951)
44072,The Steel Helmet (1951)
44079,Strangers on a Train (1951)
44081,A Streetcar Named Desire (1951)
44103,The Tales of Hoffmann (1951)
44121,The Thing from Another World (1951)
44314,5 Fingers (1952)
44333,Against All Flags (1952)
44357,Angel Face (1952)
44364,Another Mans Poison (1951)
44386,Robinson Crusoe (1954)
44391,The Bad and the Beautiful (1952)
44413,Bend of the River (1952)
44453,El bruto (1953)
44487,Le carrosse dor (1952)
44509,Come Back Little Sheba (1952)
44515,Cosh Boy (1953)
44517,The Crimson Pirate (1952)
44672,The Greatest Show on Earth (1952)
44685,Hans Christian Andersen (1952)
44706,High Noon (1952)
44741,Ikiru (1952)
44744,The Importance of Being Earnest (1952)
44749,Innocents in Paris (1953)
44760,Ivanhoe (1952)
44789,Kansas City Confidential (1952)
44793,Karumen junjo su (1952)
44821,Lambert the Sheepish Lion (1952) Animation
44829,The Lavender Hill Mob (1951)
44837,Limelight (1952)
44860,The Lusty Men (1952)
44876,The Man in the White Suit (1951)
44916,Monkey Business (1952)
44926,Moulin Rouge (1952) 
44937,My Cousin Rachel (1952)
44953,The Naked Spur (1953)
44958,Neighbours (1952)  
45012,Pat and Mike (1952)
45029,Phone Call from a Stranger (1952)
45034,Le plaisir (1952)
45037,Plutos Christmas Tree (1952)   
45053,The Prisoner of Zenda (1952)
45061,The Quiet Man (1952)
45112,Saikaku ichidai onna (1952)
45152,Singin in the Rain (1952)
45186,The Star (1952)
